x,y
1,772182122.8913441
2,681523676.5158639
3,628491885.0125682
4,590865230.1403837
5,561679729.2132773
6,537833438.6370881
7,517671687.2330445
8,500206783.7649036
9,484801647.1337923
10,471021282.83779716
11,458555427.0034741
12,447174992.2616079
13,436706007.13855296
14,427013240.85756433
15,417989491.33450145
16,409548337.38942343
17,401619092.0860824
18,394143200.75831217
19,387071614.206892
20,380362836.46231705
21,373981449.3542686
22,367896980.62799394
23,362083023.8719872
24,356516545.8861277
25,351177335.5352106
26,346047560.7630728
27,341111409.25501645
28,336354794.4820842
29,331765113.35146934
30,327331044.9590213
31,323042382.3525339
32,318889891.01394325
33,314865189.1246983
34,310960645.7106022
35,307169293.5549778
36,303484754.38283205
37,299901174.2979073
38,296413167.83141184
39,293015769.2597771
40,289704390.0868369
41,286474781.7768293
42,283323002.97878844
43,280245390.6080259
44,277238534.2525138
45,274299253.4557256
46,271424577.49650705
47,268611727.3436871
48,265858099.51064754
49,263161251.57474494
50,260518889.15973043
51,257928854.20730656
52,255389114.3875926
53,252897753.5183103
54,250452962.87953627
55,248053033.32540733
56,245696348.10660398
57,243381376.32811612
58,241106666.97598922
59,238870843.45468247
60,236672598.58354115
61,234510690.00684118
62,232383935.97705376
63,230291211.47549272
64,228231444.63846314
65,226203613.4604863
66,224206742.7492181
67,222239901.30934834
68,220302199.3351221
69,218392785.99321127
70,216510847.17949748
71,214655603.43496525
72,212826308.00735188
73,211022245.04648995
74,209242727.92242706
75,207487097.65643477
76,205754721.45593166
77,204044991.34517455
78,202357322.8842969
79,200691153.96994603
80,199045943.71135676
81,197421171.3762405
82,195816335.40134907
83,194230952.46300733
84,192664556.60330832
85,191116698.4080156
86,189586944.23254585
87,188074875.47269344
88,186580087.8770336
89,185102190.89817274
90,183640807.08024538
91,182195571.48025346
92,180766131.12102687
93,179352144.47375798
94,177953280.96820688
95,176569220.52882528
96,175199653.13516748
97,173844278.40507948
98,172502805.19926465
99,171174951.24592245
100,169860442.78425026
101,168559014.22568417
102,167270407.83182645
103,165994373.4080844
104,164730668.0121125
105,163479055.67620194
106,162239307.14283025
107,161011199.61262596
108,159794516.5040561
109,158589047.22418976
110,157394586.9499272
111,156210936.4191314
112,155037901.73112392
113,153875294.1560489
114,152722929.952636
115,151580630.1939205
116,150448220.60050905
117,149325531.38100123
118,148212397.0792023
119,147108656.42778277
120,146014152.20806098
121,144928731.11560416
122,143852243.631361
123,142784543.89805353
124,141725489.6015736
125,140674941.85714376
126,139632765.10001254
127,138598826.9804703
128,137572998.26298296
129,136555152.72925007
130,135545167.08500612
131,134542920.87039244
132,133548296.37373793
133,132561178.54859245
134,131581454.93386817
135,130609015.57694972
136,129643752.95964193
137,128685561.92682946
138,127734339.61773121
139,126789985.39963686
140,125852400.80401742
141,124921489.46491122
142,123997157.05948508
143,123079311.25068307
144,122167861.6318717
145,121262719.67340267
146,120363798.67100978
147,119471013.6959691
148,118584281.546947
149,117703520.7034707
150,116828651.2809546
151,115959594.98721993
152,115096275.08045149
153,114238616.32853067
154,113386544.96969438
155,112539988.67446709
156,111698876.50881672
157,110863138.89848769
158,110032707.59446585
159,109207515.63953447
160,108387497.33587658
161,107572588.21368766
162,106762725.00076044
163,105957845.59300458
164,105157889.0258689
165,104362795.44663155
166,103572506.08752716
167,102786963.23968256
168,102006110.22782815
169,101229891.38576186
170,100458252.03253543
171,99691138.44934022
172,98928497.85706568
173,98170278.39450896
174,97416429.09721327
175,96666899.87691092
176,95921641.50155354
177,95180605.57590663
178,94443744.52269256
179,93711011.56426013
180,92982360.70476532
181,92257746.7128458
182,91537125.10477328
183,90820452.12806523
184,90107684.7455467
185,89398780.61984062
186,88693698.0982778
187,87992396.19821239
188,87294834.59272671
189,86600973.59671688
190,85910774.15334511
191,85224197.82084763
192,84541206.7596873
193,83861763.72003889
194,83185832.02959931
195,82513375.58171034
196,81844358.82378459
197,81178746.74602723
198,80516504.87044227
199,79857599.24011624
200,79201996.4087702
201,78549663.43057239
202,77900567.85020411
203,77254677.69316983
204,76611961.45634627
205,75972388.09876251
206,75335927.03260422
207,74702548.11443555
208,74072221.63663232
209,73444918.31902206
210,72820609.30072176
211,72199266.13217032
212,71580860.76735008
213,70965365.55618942
214,70352753.23714578
215,69742996.92995918
216,69136070.12857592
217,68531946.69423425
218,67930600.84870958
219,67332007.167714
220,66736140.574447036
221,66142976.33329129
222,65552490.04365134
223,64964657.633930564
224,64379455.35564375
225,63796859.77765882
226,63216847.78056872
227,62639396.55118525
228,62064483.57715583
229,61492086.641696334
230,60922183.81844032
231,60354753.466398716
232,59789774.22502887
233,59227225.00941002
234,58667085.00552106
235,58109333.66562033
236,57553950.70372212
237,57000916.09117007
238,56450210.0523026
239,55901813.06021023
240,55355705.832580805
241,54811869.327631354
242,54270284.74012399
243,53730933.497464776
244,53193797.25588083
245,52658857.89667809
246,52126097.52257335
247,51595498.45410085
248,51067043.22609341
249,50540714.584231496
